Title,MinWeight,MaxWeight,MinAge,MaxAge,Gender,StandardSquat,StandardBench,StandardDeadlift,StandardTotal,Active,Override,Affiliation,LiftType
"Female Bench Only Classic Masters 4 (55 – 59 years) 48KG",1,48,55,59,F,0,37,0,0,1,"[164,244,324,404]",4,4
"Female Bench Only Classic Masters 4 (55 – 59 years) 53KG",48,53,55,59,F,0,42,0,0,1,"[174,254,334,414]",4,4
"Female Bench Only Classic Masters 4 (55 – 59 years) 58KG",53,58,55,59,F,0,47,0,0,1,"[184,264,344,434]",4,4
"Female Bench Only Classic Masters 4 (55 – 59 years) 64KG",58,64,55,59,F,0,52,0,0,1,"[194,274,354,434]",4,4
"Female Bench Only Classic Masters 4 (55 – 59 years) 72KG",64,72,55,59,F,0,57,0,0,1,"[204,284,364,444]",4,4
"Female Bench Only Classic Masters 4 (55 – 59 years) 84KG",72,84,55,59,F,0,62,0,0,1,"[214,294,374,454]",4,4
"Female Bench Only Classic Masters 4 (55 – 59 years) 100KG",84,100,55,59,F,0,67,0,0,1,"[224,304,384,464]",4,4
"Female Bench Only Classic Masters 4 (55 – 59 years) 100+KG",100,500,55,59,F,0,72,0,0,1,"[234,314,394,474]",4,4
"Female Bench Only Classic Masters 5 (60 – 64 years) 48KG",1,48,60,64,F,0,32,0,0,1,"[164,244,324,404,484]",4,4
"Female Bench Only Classic Masters 5 (60 – 64 years) 53KG",48,53,60,64,F,0,37,0,0,1,"[174,254,334,414,494]",4,4
"Female Bench Only Classic Masters 5 (60 – 64 years) 58KG",53,58,60,64,F,0,42,0,0,1,"[184,264,344,434,504]",4,4
"Female Bench Only Classic Masters 5 (60 – 64 years) 64KG",58,64,60,64,F,0,47,0,0,1,"[194,274,354,434,514]",4,4
"Female Bench Only Classic Masters 5 (60 – 64 years) 72KG",64,72,60,64,F,0,52,0,0,1,"[204,284,364,444,524]",4,4
"Female Bench Only Classic Masters 5 (60 – 64 years) 84KG",72,84,60,64,F,0,57,0,0,1,"[214,294,374,454,534]",4,4
"Female Bench Only Classic Masters 5 (60 – 64 years) 100KG",84,100,60,64,F,0,62,0,0,1,"[224,304,384,464,544]",4,4
"Female Bench Only Classic Masters 5 (60 – 64 years) 100+KG",100,500,60,64,F,0,67,0,0,1,"[234,314,394,474,554]",4,4
"Female Bench Only Classic Masters 6 (65 – 69 years) 48KG",1,48,65,69,F,0,28,0,0,1,"[164,244,324,404,484,564]",4,4
